1000, 0.00120, 0.001
2000, 0.00111, 0.001
3000, 0.00108, 0.001
4000, 0.00109, 0.001
5000, 0.00110, 0.001
6000, 0.00108, 0.001
7000, 0.00106, 0.001
8000, 0.00103, 0.001
9000, 0.00105, 0.001
10000, 0.00101, 0.001
11000, 0.00105, 0.001
12000, 0.00104, 0.001
13000, 0.00103, 0.001
14000, 0.00104, 0.001
15000, 0.00105, 0.001
16000, 0.00102, 0.001
17000, 0.00098, 0.001
18000, 0.00100, 0.001
19000, 0.00102, 0.001
20000, 0.00104, 0.001
21000, 0.00104, 0.001
22000, 0.00104, 0.001
23000, 0.00103, 0.001
24000, 0.00100, 0.001
25000, 0.00101, 0.001
26000, 0.00102, 0.001
27000, 0.00102, 0.001
28000, 0.00100, 0.001
29000, 0.00099, 0.001
30000, 0.00099, 0.001
31000, 0.00100, 0.001
32000, 0.00102, 0.001
33000, 0.00102, 0.001
34000, 0.00100, 0.001
35000, 0.00104, 0.001
36000, 0.00101, 0.001
37000, 0.00101, 0.001
38000, 0.00100, 0.001
39000, 0.00100, 0.001
40000, 0.00101, 0.001
